file,step_index,entry_index,status,select_context,select_type,select_option_count,yourIndex,turn,turnActionCount,firstPlayer,energyAttached,supporterPlayed,stadiumPlayed,retreated,result,p0_deckCount,p0_discardCount,p0_prizeCount,p0_handCount,p0_benchCount,p0_activeExists,p0_activeHp,p0_activeMaxHp,p0_activeEnergyCount,p0_activeToolCount,p0_activeAppearThisTurn,p0_poisoned,p0_burned,p0_asleep,p0_paralyzed,p0_confused,p1_deckCount,p1_discardCount,p1_prizeCount,p1_handCount,p1_benchCount,p1_activeExists,p1_activeHp,p1_activeMaxHp,p1_activeEnergyCount,p1_activeToolCount,p1_activeAppearThisTurn,p1_poisoned,p1_burned,p1_asleep,p1_paralyzed,p1_confused,label
81883754.json,1,0,ACTIVE,41,9,2,0,0,1,-1,0,0,0,0,-1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81883754.json,2,1,ACTIVE,1,1,2,1,0,2,1,0,0,0,0,-1,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
81883754.json,3,0,ACTIVE,1,1,1,0,0,3,1,0,0,0,0,-1,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
81883754.json,4,1,ACTIVE,2,1,1,1,0,4,1,0,0,0,0,-1,47,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,47,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1
81883754.json,5,1,ACTIVE,0,0,5,1,1,1,1,0,0,0,0,-1,47,0,6,6,0,1,30,30,0,0,1,0,0,0,0,0,46,0,6,6,1,1,160,160,0,0,1,0,0,0,0,0,1
81883754.json,6,1,ACTIVE,0,0,3,1,1,2,1,0,0,0,0,-1,47,0,6,6,0,1,30,30,0,0,1,0,0,0,0,0,46,0,6,5,1,1,160,160,0,0,1,0,0,0,0,0,1
81883754.json,7,0,ACTIVE,0,0,8,0,2,1,1,0,0,0,0,-1,46,0,6,7,0,1,30,30,0,0,0,0,0,0,0,0,46,0,6,5,1,1,160,160,0,0,0,0,0,0,0,0,0
81883754.json,8,0,ACTIVE,0,0,3,0,2,2,1,0,1,0,0,-1,44,1,6,8,0,1,30,30,0,0,0,0,0,0,0,0,46,0,6,5,1,1,160,160,0,0,0,0,0,0,0,0,0
81883754.json,9,1,ACTIVE,0,0,7,1,3,1,1,0,0,0,0,-1,44,1,6,8,0,1,30,30,0,0,0,0,0,0,0,0,45,0,6,6,1,1,150,160,0,0,0,0,0,0,0,0,1
81883754.json,10,1,ACTIVE,0,0,6,1,3,2,1,0,0,0,0,-1,44,1,6,8,0,1,30,30,0,0,0,0,0,0,0,0,45,0,6,5,1,1,150,160,0,0,0,0,0,0,0,0,1
